Name,WAR,G,ERA,FIP,WHIP
1,폰세,25  P,6.21,19,19
2,네일,25  P,4.77,18,18
3,후라도,25  P,4.50,19,19
4,앤더슨,25  P,4.40,19,19
5,임찬규,25  P,3.93,18,18
6,와이스,25  P,3.67,19,19
7,소형준,25  P,3.67,17,17
8,라일리,25  P,3.58,18,18
9,잭로그,25  P,3.45,18,18
10,오원석,25  P,3.45,17,17
11,데이비슨,25  P,3.41,19,19
12,로건,25  P,3.15,19,19
13,원태인,25  P,3.07,15,15
14,올러,25  P,3.03,16,16
15,치리노스,25  P,3.02,18,18
16,송승기,25  P,2.96,17,17
17,고영표,25  P,2.67,16,16
18,김도현,25  P,2.19,16,16
19,김광현,25  P,2.10,18,18
20,손주영,25  P,2.01,18,17
21,헤이수스,25  P,1.89,18,18
22,하영민,25  P,1.32,18,18
23,박세웅,25  P,1.19,17,17
24,양현종,25  P,0.75,18,18
25,쿠에바스,25  P,0.49,18,18
